lambda_gram,embedding
exprimeir,0110010010101
pito,1100000000111
rechinar,1100101001111
lechero,0101000101000
sorprendido,1101011110010
30,0000000001101
princés,1100011110111
gente,0110100101010
pacientemente,0100110011110
rompe,1101101110110
haer,0111101110000
haré,0111101001110
selvir,1101110111101
hermes,0111111011000
inventor,0111001010000
brusco,0001110011010
colocarlo,0011001111110
arrastrar,0000101100000
infinidad,0111011111000
mís,0100100011001
pionero,0100000000010
emperifollada,0010011000011
maripós,0101110111000
arcoiris,0000101110101
cuanto,0011111001000
daré,0011101100110
tenedor,1111000000000
torcida,1111001111110
animalillo,0000111101011
frustración,0110101001101
maestrar,0101010110110
barba,0001101000110
salvar,1101111111011
enigma,0010000101111
dimir,0010110100111
comadreja,0011001110001
come,0011001010111
lloro,0101011011010
provenir,1100010010000
abastecer,0000000010011
procedar,1100011101110
preocupe,1100011000111
alcanzar,0000010011100
agudo,0000010100011
zumbar,1111101110110
lujosos,0101011101101
molde,0101101100110
cesar,0001000011101
oveja,0100110110011
músculo,0100100011011
pierno,0100000010010
tejado,1101000110111
ninfar,0100101100110
pensaría,0100001011001
cuerda,0011101000000
salchicho,1101111010100
trago,1111001001101
tradición,1111001001000
voy,1111111000001
recibepensamiento,1100101001110
resbalar,1101100000011
tantatachán,1101000100101
refrescar,1100101100010
colocar,0011001111010
burlona,0001110000000
entrado,0010000011000
raíz,1100111001111
emperador,0010011000111
conocí,0011010101011
nombr,0100101111011
jurado,0111000001110
ordenado,0100111100001
revoltoso,1101100101001
árbol,1111101111011
lengua,0101000100110
tapio,1101000101111
sábana,1101001111101
peligro,0100001000000
iluminar,0111010001100
repente,1100100001110
paco,0100110011010
huéspedes,0111110001010
recoger,1100101011111
gris,0111100001111
monstruos,0101100101100
lanzarlo,0101000010110
pino,0100000001001
reservar,1101100001100
ardilla,0000101111110
2,0000000000010
visto,1111111011100
vendaje,1111110001000
parte,0100010101110
malvados,0101010001101
frigio,0110101000001
quier,1100110101100
garganta,0110101100110
consejeros,0011010111111
exigir,0110010110100
resistencia,1101100001010
vea,1111010000001
apurada,0000101010101
mago,0101010010001
comí,0011011110001
pintada,0100000001110
forcejeo,0110111010001
gerda,0110100111011
tercero,1111000000100
bolso,0001110100001
oriental,0100110101110
visitante,1111111010011
coincidir,0011001100011
furtivamente,0110101010000
norma,0100101111101
zarpazo,1111101010101
tarta,1101000111011
extraordinario,0110010001011
fuerir,0110101011011
seguridad,1101110101000
pájaro,1100110011011
liebre,0101001110101
mundial,0101100001110
felicidad,0110110110010
concursant,0011011111011
desastrar,0010100101011
habitar,0111101101001
pillarl,0100000011100
habilidad,0111101100100
tí,1111011100011
sabiduer,1101111000010
estatuo,0110011010110
convertirás,0011110011100
devolver,0010111010100
pintor,0100000000100
amanecer,0000110110000
langosta,0101000011101
carlos,0001001001011
trazar,1111011011010
reacción,1100111001100
planto,1100000011101
quedárselo,1100110110100
banda,0001101001111
doméstico,0010010011111
toymu,1111001011111
informar,0111011111110
director,0010110111000
sátiro,1101001111010
sucesor,1101011001000
limpiar,0101001110001
rencor,1100100010100
panadería,0100010001001
87,0000000011010
confundiéndolo,0011010100001
página,1100110011001
cristalino,0011111110011
duende,0010010111101
destino,0010111000101
sediento,1101110101101
hechizada,0111101000110
consecuencia,0011010101000
pollo,1100001100011
ladrón,0101000001000
reducir,1100101101010
barbero,0001101000001
hocico,0111111101110
salcedir,1101111011111
gotear,0110100011000
lograste,0101011110111
imponente,0111010010001
belén,0001111010010
hijos,0111111111111
botón,0001110111101
duendecillo,0010010111111
confirmar,0011011100011
cuidar,0011101001011
expulsar,0110010011111
prís,1100010011101
cinturita,0011000010111
leyenda,0101001100010
pastilla,0100011101110
formular,0110111010100
deambular,0011101100001
carretero,0001001010101
mudar,0101100011110
cruz,0011111010101
tairo,1101001100111
bombón,0001110100110
biblioteca,0001111110110
gruff,0111100011010
plato,1100000010010
isla,0111001101110
apoderado,0000111000010
fuertemente,0110101011110
tiendo,1111000010100
dijerar,0010110100000
cazador,0001001100001
vez,1111110100000
innumerable,0111011011010
despensa,0010101001011
vaciar,1111010010000
olvidé,0100111111010
resistir,1101100001001
pareces,0100010110111
araño,0000101110010
curar,0011101010110
