word,binary
bocar,0001010111010
bocca,0001010111011
boda,0001010111100
bola,0001010111101
bolo,0001010111110
bolsa,0001010111111
bolsillo,0001011000000
bolso,0001011000001
bombaterremoto,0001011000010
bombero,0001011000011
bombón,0001011000100
bonachón,0001011000101
bondad,0001011000110
bondadosa,0001011000111
bonito,0001011001000
borda,0001011001001
bordar,0001011001010
borde,0001011001011
borracho,0001011001100
borrones,0001011001101
boscar,0001011001110
bosque,0001011001111
bostezar,0001011010000
bota,0001011010001
botas,0001011010010
bote,0001011010011
botello,0001011010100
botín,0001011010101
botón,0001011010110
brazalete,0001011010111
brazo,0001011011000
breve,0001011011001
brillante,0001011011010
brillar,0001011011011
brille,0001011011100
brillo,0001011011101
brincar,0001011011110
brinco,0001011011111
broma,0001011100000
bromeandodijo,0001011100001
bromista,0001011100010
bromo,0001011100011
bronco,0001011100100
brotado,0001011100101
brotar,0001011100110
bruja,0001011100111
brujita,0001011101000
brujito,0001011101001
brujitolandia,0001011101010
